L,beta,n,eps_opt,gamma,random_state,Alg
150.0,2,500,0.19,0.99,9610702,Ours
150.0,2,500,0.38,0.99,9610702,Uniform
150.0,2,1500,0.28,0.99,9610702,Ours
150.0,2,1500,0.38,0.99,9610702,Uniform
150.0,2,2500,0.28,0.99,9610702,Ours
150.0,2,2500,0.21,0.99,9610702,Uniform
150.0,2,3500,0.17,0.99,9610702,Ours
150.0,2,3500,0.38,0.99,9610702,Uniform
150.0,2,4500,0.17,0.99,9610702,Ours
150.0,2,4500,0.38,0.99,9610702,Uniform
150.0,2,5500,0.17,0.99,9610702,Ours
150.0,2,5500,0.21,0.99,9610702,Uniform
150.0,2,6500,0.17,0.99,9610702,Ours
150.0,2,6500,0.21,0.99,9610702,Uniform
150.0,2,7500,0.17,0.99,9610702,Ours
150.0,2,7500,0.21,0.99,9610702,Uniform
150.0,2,8500,0.17,0.99,9610702,Ours
150.0,2,8500,0.21,0.99,9610702,Uniform
150.0,2,9500,0.17,0.99,9610702,Ours
150.0,2,9500,0.3,0.99,9610702,Uniform
150.0,2,10500,0.17,0.99,9610702,Ours
150.0,2,10500,0.3,0.99,9610702,Uniform
150.0,2,11500,0.17,0.99,9610702,Ours
150.0,2,11500,0.3,0.99,9610702,Uniform
150.0,2,12500,0.17,0.99,9610702,Ours
150.0,2,12500,0.3,0.99,9610702,Uniform
150.0,2,13500,0.17,0.99,9610702,Ours
150.0,2,13500,0.3,0.99,9610702,Uniform
150.0,2,14500,0.17,0.99,9610702,Ours
150.0,2,14500,0.3,0.99,9610702,Uniform
150.0,2,15500,0.17,0.99,9610702,Ours
150.0,2,15500,0.3,0.99,9610702,Uniform
150.0,2,16500,0.17,0.99,9610702,Ours
150.0,2,16500,0.3,0.99,9610702,Uniform
150.0,2,17500,0.23,0.99,9610702,Ours
150.0,2,17500,0.3,0.99,9610702,Uniform
150.0,2,18500,0.23,0.99,9610702,Ours
150.0,2,18500,0.3,0.99,9610702,Uniform
150.0,2,19500,0.23,0.99,9610702,Ours
150.0,2,19500,0.3,0.99,9610702,Uniform
150.0,2,20500,0.23,0.99,9610702,Ours
150.0,2,20500,0.3,0.99,9610702,Uniform
150.0,2,21500,0.23,0.99,9610702,Ours
150.0,2,21500,0.3,0.99,9610702,Uniform
150.0,2,22500,0.23,0.99,9610702,Ours
150.0,2,22500,0.3,0.99,9610702,Uniform
150.0,2,23500,0.23,0.99,9610702,Ours
150.0,2,23500,0.3,0.99,9610702,Uniform
150.0,2,24500,0.23,0.99,9610702,Ours
150.0,2,24500,0.17,0.99,9610702,Uniform
150.0,2,25500,0.23,0.99,9610702,Ours
150.0,2,25500,0.17,0.99,9610702,Uniform
150.0,2,26500,0.23,0.99,9610702,Ours
150.0,2,26500,0.3,0.99,9610702,Uniform
150.0,2,27500,0.23,0.99,9610702,Ours
150.0,2,27500,0.3,0.99,9610702,Uniform
150.0,2,28500,0.23,0.99,9610702,Ours
150.0,2,28500,0.17,0.99,9610702,Uniform
150.0,2,29500,0.23,0.99,9610702,Ours
